,Unnamed: 0,X_axis,Y_axis,hospital_id_1,hospital_id,Gene,Klebsiella spp,Escherichia coli,Enterobacter spp,Citrobacter freundii,others,concat,Total,Y_axis_id,value_1,Y_axis_id_imp
0,0,Aichi-C,others,30,40,blaIMP-1,0,0,0,0,1,Aichi-C_others,1,0,2,0
1,1,Hyogo-A,others,20,50,blaIMP-1,0,0,1,0,0,Hyogo-A_others,1,0,2,0
2,2,Fukuoka-B,others,8,62,blaIMP-1,2,0,0,0,0,Fukuoka-B_others,2,0,2,0
3,3,Fukuoka-E,others,5,65,blaIMP-1,1,0,0,0,1,Fukuoka-E_others,2,0,2,0
4,4,Saitama-D,others,64,6,blaIMP-1,1,0,1,0,0,Saitama-D_others,2,0,2,0
5,5,Gifu-A,others,34,36,blaIMP-1,0,0,0,1,0,Gifu-A_others,1,0,2,0
6,6,Fukuoka-G,others,3,67,blaIMP-1,0,0,1,0,0,Fukuoka-G_others,1,0,2,0
7,7,Aiichi-A,ND,31,39,blaIMP-1,0,0,0,1,0,Aiichi-A_ND,1,1,2,1
8,8,Fukuoka-D,ND,6,64,blaIMP-1,1,0,0,1,0,Fukuoka-D_ND,2,1,2,1
9,9,Fukuoka-G,ND,3,67,blaIMP-1,6,3,0,0,0,Fukuoka-G_ND,9,1,4,1
10,10,Aichi-D,ND,29,41,blaIMP-1,0,0,0,1,0,Aichi-D_ND,1,1,2,1
11,11,Ehime-A,ND,11,59,blaIMP-1,0,0,0,0,1,Ehime-A_ND,1,1,2,1
12,12,Shizuoka-B,ND,32,38,blaIMP-1,1,0,0,0,0,Shizuoka-B_ND,1,1,2,1
13,13,Osaka-E,FII,21,49,blaIMP-1,1,0,0,0,0,Osaka-E_FII,1,1,2,8
14,14,Aichi-F,FII,28,42,blaIMP-1,1,0,0,0,0,Aichi-F_FII,1,1,2,8
15,20,Toky-S,IncN-IncFIA,44,26,blaIMP-1,0,0,0,1,0,Toky-S_IncN-IncFIA,1,4,2,2
16,22,Osaka-B,IncN,22,48,blaIMP-1,1,0,0,0,0,Osaka-B_IncN,1,6,2,3
17,27,Toky-S,IncN,44,26,blaIMP-1,3,0,4,9,0,Toky-S_IncN,16,6,5,3
18,29,Tokyo-C,IncN,58,12,blaIMP-1,1,0,1,0,0,Tokyo-C_IncN,2,6,2,3
19,33,Tokyo-L,IncN,50,20,blaIMP-1,0,1,0,0,0,Tokyo-L_IncN,1,6,2,3
20,34,Yamagata-A,IncN,70,0,blaIMP-1,1,0,0,0,0,Yamagata-A_IncN,1,6,2,3
21,36,Yamagata-B,IncN,69,1,blaIMP-1,4,2,5,1,0,Yamagata-B_IncN,12,6,5,3
22,40,Hyogo-D,IncN,17,53,blaIMP-1,1,0,0,0,0,Hyogo-D_IncN,1,6,2,3
