変換後ID,aac(3)-IId,aac(6')-IIc,aac(6')-Ib-G,aadA2,aph(3'')-Ib,aph(6)-Id,blaCTX-M-1,blaCTX-M-2,blaCTX-M-9,blaIMP-6,blaSHV,blaTEM,dfrA16,mcr,qnrA1,qnrB1,qnrB2,qnrS1,sul1,sul2,tet(A),CLSI_IPM_SIR,CLSI_MEPM_SIR,CLSI_DRPM_SIR,CLSI_PIPC/TAZ_SIR,CLSI_AZT_SIR,CLSI_GM_SIR,CLSI_TOB_SIR,CLSI_AMK_SIR,CLSI_LVFX_SIR,CLSI_CPFX_SIR,CLSI_MINO_SIR,CLSI_ST_SIR,CLSI_CL_SIR,CLSI_CP_SIR,Contig size (bp),Y axis,Inc_type,Pi chart,遺伝子,X axis (region),plasmid size(kbp)
JBBBAAB-19-0138,0,100,0,100,0,0,0,0,100,100,0,0,100,100,99.85,0,0,0,100,0,0,I,R,R,S,S,S,S,S,S,R,S,R,I,S,274292,IncHI2,HI2,Enterobacter spp,blaIMP-6,East,274.292
JBBDAAB-19-0011,0,0,0,100,0,0,0,0,100,100,100,0,0,100,99.85,0,0,0,100,0,100,S,R,R,S,R,S,R,S,R,R,I,R,I,I,295301,IncHI2,HI2,Enterobacter spp,blaIMP-6,East,295.301
JBBDABE-19-0091,0,0,0,100,0,0,0,0,100,100,100,0,0,100,99.85,0,0,0,100,0,0,S,R,I,S,R,S,I,S,S,R,S,R,I,S,280639,IncHI2,HI2,Enterobacter spp,blaIMP-6,East,280.639
JBBDACI-19-0018,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,S,R,R,S,R,S,I,S,R,R,S,I,I,S,52953,IncN,N,Klebsiella spp,blaIMP-6 ,East,52.953
JBBDAEE-19-0024,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,S,R,R,S,R,S,I,S,R,R,S,S,I,S,52953,IncN,N,Klebsiella spp,blaIMP-6 ,East,52.953
JBCDAAB-19-0064,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,S,R,R,S,R,I,R,S,R,R,I,S,I,S,125014,IncFIA-FIB-N,FIA-FIB-N,Escherichia coli,blaIMP-6 ,Middle,125.014
JBCDADE-19-0014,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,S,I,S,S,R,S,R,S,R,R,I,S,I,I,53613,IncN,N,Klebsiella spp,blaIMP-6 ,Middle,53.613
JBCEACC-19-0030,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,I,R,R,S,R,S,I,S,S,S,S,S,I,S,52449,IncN,N,Enterobacter spp,blaIMP-6 ,Middle,52.449
JBCHAAB-19-0056,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,S,R,I,S,R,I,R,S,S,S,S,S,I,S,52301,IncN,N,Escherichia coli,blaIMP-6 ,West,52.301
JBCHACG-19-0426,0,0,0,100,100,100,100,0,0,100,0,100,0,0,0,100,0,100,100,100,0,S,R,R,R,S,S,I,S,R,R,S,S,I,S,225562,IncN-FIB,N-FIB,Klebsiella spp,blaIMP-6 ,West,225.562
JBCHACG-19-0462,0,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,0,0,S,R,R,S,S,S,I,S,R,R,S,S,I,I,50554,IncN,N,Klebsiella spp,blaIMP-6 ,West,50.554
JBCIAAH-19-0097,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,S,R,R,S,R,S,I,S,S,S,S,S,R,S,52003,IncN,N,Klebsiella spp,blaIMP-6 ,West,52.003
JBCIAAH-19-0136,100,0,100,100,0,0,0,100,0,100,0,100,0,0,0,0,0,0,100,0,100,S,R,R,S,R,R,R,S,R,R,S,S,I,S,139295,IncFIA-FII-N,FIA-FII-N,Escherichia coli,blaIMP-6 ,West,139.295
JBCIAAH-19-0233,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,S,R,R,S,I,S,I,S,S,S,S,S,I,S,50451,IncN,N,Klebsiella spp,blaIMP-6 ,West,50.451
JBCIACA-19-0215,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,S,I,S,S,R,S,S,S,S,S,I,S,I,S,47964,IncN,N,Klebsiella spp,blaIMP-6 ,West,47.964
JBCIACA-19-0354,0,0,0,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,S,R,R,R,R,S,I,S,S,S,R,S,I,I,53586,IncN,N,Klebsiella spp,blaIMP-6 ,West,53.586
JBCIACA-19-0363,0,0,0,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,S,R,I,I,R,S,I,S,S,S,R,S,I,S,53584,IncN,N,Citrobacter freundii,blaIMP-6 ,West,53.584
JBCIACE-19-0140,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,S,R,R,S,R,I,R,S,R,R,I,S,I,S,53666,IncN,N,Escherichia coli,blaIMP-6 ,West,53.666
JBCIACE-19-0271,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,100,S,R,R,S,I,S,S,S,S,S,I,S,I,S,52413,IncN,N,Klebsiella spp,blaIMP-6 ,West,52.413
